tipo_propiedad,localidad,sup_total,sup_cubierta,precio_m2,ambientes,ratio_sup,amenities,cochera,precio_m2_Media,precio_m2_Mediana,ratio_price_Media,ratio_price_Mediana,sup_cub_exp2,sup_ambientes,pond
apartment,Paternal,27.0,27.0,2400.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,729.0,27.0,97771.79392902063
apartment,Paternal,32.0,32.0,2350.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,1024.0,32.0,97771.79392902063
apartment,Paternal,32.0,32.0,2380.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,1024.0,32.0,97771.79392902063
apartment,Paternal,32.0,32.0,2410.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,1024.0,32.0,97771.79392902063
apartment,Paternal,27.0,27.0,2320.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,729.0,27.0,97771.79392902063
apartment,Paternal,27.0,27.0,2350.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,729.0,27.0,97771.79392902063
apartment,Paternal,27.0,27.0,2380.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,729.0,27.0,97771.79392902063
apartment,Paternal,27.0,27.0,2410.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,729.0,27.0,97771.79392902063
apartment,Paternal,27.0,27.0,2440.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,729.0,27.0,97771.79392902063
apartment,Paternal,33.0,33.0,2290.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,1089.0,33.0,97771.79392902063
apartment,Paternal,33.0,33.0,2320.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,1089.0,33.0,97771.79392902063
apartment,Paternal,33.0,33.0,2350.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,1089.0,33.0,97771.79392902063
apartment,Paternal,28.0,28.0,2380.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,784.0,28.0,97771.79392902063
apartment,Paternal,28.0,28.0,2410.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,784.0,28.0,97771.79392902063
apartment,Paternal,28.0,28.0,2440.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,784.0,28.0,97771.79392902063
apartment,Caballito,30.0,30.0,2350.0,1.0,1.0,0,0,2757.4,2700.0,0.9530467685685797,0.996309963099631,900.0,30.0,161304.4181757913
apartment,Caballito,28.0,25.0,2580.0,1.0,1.12,0,0,2757.4,2700.0,0.9530467685685797,0.996309963099631,625.0,25.0,161304.4181757913
apartment,Puerto Madero,54.0,50.0,7000.0,2.0,1.08,0,0,5896.3,5810.0,2.0379522961887706,2.143911439114391,2500.0,25.0,1607249.753032061
apartment,Agronomía,56.0,56.0,2500.0,2.0,1.0,0,0,2514.2,2500.0,0.868988969875652,0.922509225092251,3136.0,28.0,128048.64776694306
PH,Villa Pueyrredón,116.0,68.0,2910.0,3.0,1.4982921164908727,0,0,2603.0,2500.0,0.8996811266352408,0.922509225092251,4624.0,22.666666666666668,128048.64776694306
apartment,Caballito,42.0,37.0,2460.0,1.0,1.135135135135135,0,0,2757.4,2700.0,0.9530467685685797,0.996309963099631,1369.0,37.0,161304.4181757913
apartment,Coghlan,39.0,34.0,2820.0,1.0,1.1470588235294117,0,0,2930.9,2870.0,1.0130139892643977,1.0590405904059041,1156.0,34.0,193731.68719946875
apartment,Palermo,70.0,61.0,2930.0,3.0,1.1475409836065573,0,0,3651.1,3380.0,1.261938440821332,1.2472324723247232,3721.0,20.333333333333332,316449.97912540694
apartment,Almagro,77.0,72.0,2920.0,4.0,1.0694444444444444,0,0,2452.5,2360.0,0.847663451046073,0.8708487084870848,5184.0,18.0,107718.6692289618
apartment,Caballito,200.0,178.0,1990.0,5.0,1.1235955056179776,0,0,2757.4,2700.0,0.9530467685685797,0.996309963099631,31684.0,35.6,161304.4181757913
apartment,Parque Centenario,200.0,178.0,1990.0,5.0,1.1235955056179776,0,0,2564.0,2500.0,0.8862014631935295,0.922509225092251,31684.0,35.6,128048.64776694306
apartment,Puerto Madero,54.0,50.0,7000.0,2.0,1.08,0,0,5896.3,5810.0,2.0379522961887706,2.143911439114391,2500.0,25.0,1607249.753032061
apartment,Puerto Madero,54.0,50.0,6600.0,2.0,1.08,0,0,5896.3,5810.0,2.0379522961887706,2.143911439114391,2500.0,25.0,1607249.753032061
apartment,San Telmo,41.0,36.0,3010.0,1.0,1.1388888888888888,0,0,2641.9,2600.0,0.9131262268373579,0.959409594095941,1296.0,36.0,144037.31412171456
apartment,Almagro,56.0,47.0,2550.0,3.0,1.1914893617021276,0,0,2452.5,2360.0,0.847663451046073,0.8708487084870848,2209.0,15.666666666666666,107718.6692289618
apartment,Monserrat,60.0,60.0,2000.0,2.0,1.0,0,0,2318.4,2280.0,0.8013141467503428,0.8413284132841329,3600.0,30.0,97131.36937330067
apartment,Recoleta,235.0,92.0,2940.0,5.0,1.0,0,0,3546.9,3310.0,1.2259235451642472,1.2214022140221403,8464.0,18.4,297193.2572311059
house,Floresta,200.0,100.0,2800.0,3.0,1.4969030453806893,0,0,1696.1,1640.0,0.5862271067560629,0.6051660516605166,10000.0,33.333333333333336,36148.18653284549
