tipo_propiedad,localidad,provincia,sup_total,sup_cubierta,precio_m2,ambientes,ratio_sup,amenities,cochera
PH,Villa del Parque,Capital Federal,230.0,160.0,1750.0,5.0,1.3161054480795402,0,0
apartment,Monte Castro,Capital Federal,51.0,45.0,2160.0,2.0,1.1333333333333333,0,0
apartment,Floresta,Capital Federal,40.0,40.0,1720.0,2.0,1.0,0,0
apartment,Monte Castro,Capital Federal,63.0,53.0,2550.0,3.0,1.1886792452830188,0,0
apartment,Retiro,Capital Federal,45.0,45.0,3110.0,2.0,1.0,0,0
house,Capital Federal,Capital Federal,371.0,300.0,1650.0,2.0,2.756564547185661,0,0
PH,Parque Patricios,Capital Federal,39.53516812305981,30.0,2330.0,1.0,1.317838937435327,0,0
apartment,Saavedra,Capital Federal,41.0,41.0,2390.0,2.0,1.0,0,0
apartment,Coghlan,Capital Federal,83.0,83.0,3250.0,3.0,1.0,0,0
apartment,Saavedra,Capital Federal,72.0,72.0,1620.0,2.0,1.0,0,0
PH,Parque Patricios,Capital Federal,26.35677874870654,20.0,8250.0,3.0,1.317838937435327,0,0
PH,Villa Santa Rita,Capital Federal,29.721183278355884,20.0,8400.0,4.0,1.4860591639177942,0,0
apartment,Monserrat,Capital Federal,145.0,145.0,1860.0,6.0,1.0,0,0
apartment,Monserrat,Capital Federal,135.0,135.0,2040.0,5.0,1.0,0,0
apartment,Palermo,Capital Federal,137.0,137.0,2740.0,4.0,1.0,0,0
apartment,Flores,Capital Federal,55.0,55.0,1910.0,3.0,1.0,0,0
apartment,Flores,Capital Federal,158.0,158.0,1580.0,6.0,1.0,0,0
apartment,Capital Federal,Capital Federal,62.0,61.0,1970.0,3.0,1.0163934426229508,0,0
apartment,Flores,Capital Federal,68.0,35.0,2630.0,1.0,1.9428571428571428,0,0
apartment,Parque Chas,Capital Federal,76.0,46.0,3570.0,2.0,1.6521739130434783,0,0
PH,Las Cañitas,Capital Federal,55.0,55.0,2870.0,2.0,1.05,0,0
apartment,Chacarita,Capital Federal,33.0,33.0,2560.0,2.0,1.0,0,0
apartment,Chacarita,Capital Federal,33.0,33.0,2650.0,2.0,1.0,0,0
apartment,Chacarita,Capital Federal,33.0,33.0,2700.0,2.0,1.0,0,0
apartment,Congreso,Capital Federal,44.0,44.0,1980.0,2.0,1.0,0,0
apartment,Chacarita,Capital Federal,33.0,33.0,3030.0,2.0,1.0,0,0
apartment,Palermo,Capital Federal,35.0,35.0,3940.0,2.0,1.0,0,0
apartment,Chacarita,Capital Federal,34.0,34.0,2530.0,2.0,1.0,0,0
apartment,Chacarita,Capital Federal,34.0,34.0,2570.0,2.0,1.0,0,0
apartment,Chacarita,Capital Federal,34.0,34.0,2620.0,2.0,1.0,0,0
apartment,Chacarita,Capital Federal,34.0,34.0,2660.0,2.0,1.0,0,0
apartment,Chacarita,Capital Federal,34.0,34.0,2940.0,2.0,1.0,0,0
apartment,Balvanera,Capital Federal,124.0,124.0,1940.0,5.0,1.0,0,0
apartment,Congreso,Capital Federal,82.0,82.0,1700.0,3.0,1.0,0,0
PH,Floresta,Capital Federal,78.54381550525162,54.0,2170.0,3.0,1.454515101949104,0,0
apartment,Flores,Capital Federal,46.0,46.0,1910.0,1.0,1.0,0,0
apartment,Flores,Capital Federal,51.0,51.0,2030.0,2.0,1.0,0,0
apartment,Flores,Capital Federal,44.0,44.0,1950.0,1.0,1.0,0,0
apartment,Flores,Capital Federal,55.0,45.0,1640.0,2.0,1.2222222222222223,0,0
PH,Villa del Parque,Capital Federal,197.41581721193103,150.0,1860.0,4.0,1.3161054480795402,0,0
apartment,Flores,Capital Federal,51.0,46.0,2090.0,2.0,1.108695652173913,0,0
apartment,Flores,Capital Federal,131.0,122.0,1950.0,5.0,1.0737704918032787,0,0
PH,Almagro,Capital Federal,97.0,87.0,2640.0,2.0,1.3228168131311444,0,0
apartment,Capital Federal,Capital Federal,56.0,47.0,1740.0,2.0,1.1914893617021276,0,0
apartment,Palermo,Capital Federal,34.0,30.0,4470.0,1.0,1.1333333333333333,0,0
house,Mataderos,Capital Federal,222.0,69.0,2390.0,4.0,1.4644707258227643,0,0
apartment,Palermo,Capital Federal,199.0,191.0,5650.0,5.0,1.0418848167539267,0,0
apartment,Recoleta,Capital Federal,160.0,140.0,3210.0,5.0,1.1428571428571428,0,0
apartment,Barracas,Capital Federal,229.0,105.0,2810.0,1.0,2.1809523809523808,0,0
apartment,Barracas,Capital Federal,77.0,66.0,2510.0,1.0,1.1666666666666667,0,0
apartment,Barracas,Capital Federal,257.0,100.0,3150.0,1.0,2.57,0,0
apartment,Barrio Norte,Capital Federal,149.0,139.0,3090.0,4.0,1.0719424460431655,0,0
apartment,Recoleta,Capital Federal,108.0,100.0,3200.0,3.0,1.08,0,0
apartment,Barracas,Capital Federal,84.0,80.0,2000.0,1.0,1.05,0,0
apartment,Barracas,Capital Federal,95.0,87.0,2100.0,1.0,1.0919540229885059,0,0
apartment,Barracas,Capital Federal,114.0,106.0,2120.0,1.0,1.0754716981132075,0,0
apartment,Belgrano,Capital Federal,90.0,84.0,3660.0,3.0,1.0714285714285714,0,0
apartment,Belgrano,Capital Federal,90.0,84.0,4580.0,3.0,1.0714285714285714,0,0
apartment,Belgrano,Capital Federal,140.0,120.0,4900.0,4.0,1.1666666666666667,0,0
apartment,Belgrano,Capital Federal,110.0,100.0,5060.0,3.0,1.1,0,0
apartment,Recoleta,Capital Federal,40.0,25.0,3800.0,1.0,1.6,0,0
apartment,Barracas,Capital Federal,88.0,81.0,2700.0,1.0,1.0864197530864197,0,0
apartment,Recoleta,Capital Federal,170.0,162.0,3330.0,4.0,1.0493827160493827,0,0
apartment,Barrio Norte,Capital Federal,134.0,124.0,3310.0,4.0,1.0806451612903225,0,0
apartment,Recoleta,Capital Federal,151.0,151.0,2380.0,6.0,1.0,0,0
apartment,Recoleta,Capital Federal,160.0,152.0,4340.0,4.0,1.0526315789473684,0,0
apartment,Villa Urquiza,Capital Federal,247.0,116.0,5090.0,4.0,2.1293103448275863,0,0
apartment,Belgrano,Capital Federal,130.0,121.0,3620.0,4.0,1.0743801652892562,0,0
apartment,Barrio Norte,Capital Federal,76.0,76.0,3160.0,3.0,1.0,0,0
apartment,Recoleta,Capital Federal,148.0,134.0,3130.0,4.0,1.1044776119402986,0,0
apartment,Barrio Norte,Capital Federal,89.0,82.0,3040.0,4.0,1.0853658536585367,0,0
apartment,Retiro,Capital Federal,85.0,68.0,3680.0,3.0,1.25,0,0
apartment,Barrio Norte,Capital Federal,60.0,60.0,3230.0,4.0,1.0,0,0
apartment,Barrio Norte,Capital Federal,43.0,39.0,3460.0,1.0,1.1025641025641026,0,0
apartment,Caballito,Capital Federal,40.0,29.0,3280.0,1.0,1.3793103448275863,0,0
apartment,Villa del Parque,Capital Federal,49.0,45.0,2200.0,1.0,1.0888888888888888,0,0
apartment,Parque Chas,Capital Federal,70.0,52.0,2670.0,2.0,1.3461538461538463,0,0
apartment,Parque Chas,Capital Federal,64.0,47.0,2840.0,2.0,1.3617021276595744,0,0
apartment,Balvanera,Capital Federal,66.0,62.0,1610.0,3.0,1.064516129032258,0,0
apartment,Caballito,Capital Federal,103.0,95.0,2580.0,4.0,1.0842105263157895,0,0
apartment,Barracas,Capital Federal,130.0,130.0,2540.0,1.0,1.0,0,0
apartment,Almagro,Capital Federal,38.0,34.0,2150.0,1.0,1.1176470588235294,0,0
apartment,Almagro,Capital Federal,44.0,38.0,2100.0,1.0,1.1578947368421053,0,0
apartment,Villa Devoto,Capital Federal,43.0,37.0,2300.0,2.0,1.162162162162162,0,0
apartment,Liniers,Capital Federal,48.0,48.0,2040.0,2.0,1.0,0,0
apartment,Almagro,Capital Federal,35.0,32.0,2540.0,1.0,1.09375,0,0
apartment,Balvanera,Capital Federal,80.0,80.0,1850.0,4.0,1.0,0,0
apartment,San Telmo,Capital Federal,48.0,48.0,2170.0,1.0,1.0,0,0
apartment,Palermo,Capital Federal,35.0,35.0,2950.0,1.0,1.0,0,0
apartment,San Telmo,Capital Federal,44.0,44.0,2520.0,1.0,1.0,0,0
apartment,Palermo,Capital Federal,37.0,37.0,2630.0,1.0,1.0,0,0
apartment,Monserrat,Capital Federal,57.0,57.0,1880.0,1.0,1.0,0,0
apartment,Las Cañitas,Capital Federal,33.0,30.0,4610.0,1.0,1.1,0,0
PH,Monte Castro,Capital Federal,118.0,73.0,3220.0,3.0,1.3179548306798134,0,0
house,Villa Pueyrredón,Capital Federal,150.0,110.0,2270.0,4.0,1.411511546870825,0,0
apartment,San Cristobal,Capital Federal,50.0,50.0,1600.0,2.0,1.0,0,0
apartment,Barrio Norte,Capital Federal,42.0,42.0,2860.0,2.0,1.0,0,0
apartment,Coghlan,Capital Federal,83.0,83.0,3300.0,3.0,1.0,0,0
apartment,Centro / Microcentro,Capital Federal,54.0,54.0,2020.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,42.0,42.0,2820.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,42.0,42.0,2840.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,42.0,42.0,2850.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,42.0,42.0,2870.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,40.0,40.0,3190.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,40.0,40.0,3210.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,40.0,40.0,3230.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,40.0,40.0,3310.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,40.0,40.0,3330.0,2.0,1.0,0,0
apartment,Barrio Norte,Capital Federal,82.0,82.0,3350.0,4.0,1.0,0,0
apartment,Boedo,Capital Federal,35.0,35.0,2290.0,1.0,1.0,0,0
apartment,Almagro,Capital Federal,41.0,41.0,2180.0,1.0,1.0,0,0
apartment,Recoleta,Capital Federal,122.0,122.0,2160.0,3.0,1.0,0,0
PH,Villa Devoto,Capital Federal,28.737621593374385,20.0,8850.0,4.0,1.4368810796687193,0,0
apartment,Recoleta,Capital Federal,42.0,37.0,4760.0,1.0,1.135135135135135,0,0
apartment,Recoleta,Capital Federal,66.0,32.0,7090.0,1.0,2.0625,0,0
apartment,Recoleta,Capital Federal,89.0,30.0,5430.0,1.0,2.966666666666667,0,0
apartment,Coghlan,Capital Federal,62.0,47.0,3860.0,2.0,1.3191489361702127,0,0
apartment,Coghlan,Capital Federal,38.0,34.0,2910.0,1.0,1.1176470588235294,0,0
apartment,Balvanera,Capital Federal,45.0,40.0,2620.0,2.0,1.125,0,0
apartment,Palermo Soho,Capital Federal,38.0,38.0,2370.0,1.0,1.0,0,0
apartment,Balvanera,Capital Federal,53.0,53.0,2750.0,3.0,1.0,0,0
apartment,Centro / Microcentro,Capital Federal,34.0,26.0,3420.0,1.0,1.3076923076923077,0,0
PH,Colegiales,Capital Federal,265.0,200.0,2140.0,6.0,1.2160407184274309,0,0
apartment,Liniers,Capital Federal,67.0,60.0,1470.0,3.0,1.1166666666666667,0,0
apartment,Floresta,Capital Federal,45.0,45.0,1840.0,2.0,1.0,0,0
apartment,Floresta,Capital Federal,45.0,45.0,1840.0,2.0,1.0,0,0
apartment,Boca,Capital Federal,79.0,77.0,1857.142857142857,3.0,1.025974025974026,0,0
apartment,Almagro,Capital Federal,40.0,40.0,1800.0,1.0,1.0,0,0
apartment,Puerto Madero,Capital Federal,98.0,83.0,5240.963855421687,2.0,1.180722891566265,0,0
apartment,Recoleta,Capital Federal,205.0,189.0,3677.2486772486773,3.0,1.0846560846560847,0,0
apartment,Caballito,Capital Federal,60.0,53.0,2056.603773584906,1.0,1.1320754716981132,0,0
apartment,Retiro,Capital Federal,40.0,40.0,2225.0,1.0,1.0,0,0
house,Barracas,Capital Federal,120.0,120.0,1458.3333333333333,3.0,1.2050385124244627,0,0
house,Barracas,Capital Federal,193.0,172.0,1250.0,4.0,1.2050385124244627,0,0
apartment,Barrio Norte,Capital Federal,100.0,95.0,2684.2105263157896,2.0,1.0526315789473684,0,0
house,Almagro,Capital Federal,140.0,120.0,1908.3333333333333,3.0,1.261867671308095,0,0
apartment,Parque Centenario,Capital Federal,68.0,52.0,3057.6923076923076,1.0,1.3076923076923077,0,0
house,Belgrano,Capital Federal,75.0,75.0,1733.3333333333333,2.0,1.2372320297265615,0,0
apartment,Caballito,Capital Federal,40.0,40.0,2125.0,1.0,1.0,0,0
house,Colegiales,Capital Federal,65.0,57.0,2543.8596491228072,2.0,1.1740938064394875,1,0
apartment,San Cristobal,Capital Federal,35.0,35.0,2228.5714285714284,1.0,1.0,0,0
